period,xDomainNumb,label,labelShort,labelVeryShort
2024-04-01/P3M,2024.25,Q2 2024,Q2 24,24
2024-04-17,2024,2024,2024,24
2024-05-01/P1M,2024.33,May 2024,May 24,24
2024-05-15,2024,2024,2024,24
2024-05-15/P1Y,2024,2024-25,24-25,25
2024-06-01/P1M,2024.42,Jun 2024,Jun 24,24
2024-06-15,2024,2024,2024,24
2024-06-30,2024,2024,2024,24
2024-07-01,2024.5,Jul 2024,Jul 24,24
2024-07-01/P1M,2024.5,Jul 2024,Jul 24,24
2024-07-01/P3M,2024.5,Q3 2024,Q3 24,24
2024-08-01/P1M,2024.58,Aug 2024,Aug 24,24
2024-08-01/P1Y,2024,2024-25,24-25,25
2024-09-01/P1M,2024.67,Sep 2024,Sep 24,24
2024-09-01/P1Y,2024,2024-25,24-25,25
2024-10-01,2024.75,Oct 2024,Oct 24,24
2024-10-01/P1M,2024.75,Oct 2024,Oct 24,24
2024-10-01/P3M,2024.75,Q4 2024,Q4 24,24
